Lead_ID,Lead_Date,Company_Name,Contact_Email,Lead_Source,Segment,Trial_Activated,Trial_Date,Converted,Conversion_Date,MRR
LD-1258,2026-03-05,Flux Corp,info@fluxcorp.com,,SMB,Yes,2026-03-15,No,,
LD-1449,2026-05-02 16:19:00,Acme LLC,info@acmellc.com,,SMB,Yes,2026-05-06 15:56:00,No,,
LD-1205,2026-03-03,Acme Solutions,,LinkedIn Ads,Enterprise,Yes,2026-03-04,No,,
LD-1147,2026-03-03,Sovereign Global,info@sovereignglobal.com,Referral,SMB,No,,No,,
LD-1049,05/04/2026,Cloud Partners,info@cloudpartners.com,google,Enterprise,Yes,10/04/2026,No,,
LD-1268,2026-04-26,Core Corp (Duplicate Entry),info@corecorp.com,GOOGLE,Mid-Market,Yes,2026-05-03,Yes,2026-05-11,605
LD-1080,2026-05-03, Omega Global  ,info@omegaglobal.com,linkedin,Mid-Market,Yes,2026-05-10,No,,
LD-1364,2026-05-11,Nova Technologies,info@novatechnologies.com,Webinar,Enterprise,Yes,2026-05-17,No,,
LD-1418,2026-04-09,Omega Group,info@omegagroup.com,null,SMB,Yes,2026-04-12,Yes,2026-04-29,186
LD-1007,2026-05-22,Summit Global,info@summitglobal.com,Referral,Mid-Market,No,,No,,
LD-1298,2026-04-20,Omega LLC,info@omegallc.com,GOOGLE,Mid-Market,Yes,2026-04-23,Yes,2026-05-05,1162
LD-1467,17/05/2026,Acme Solutions,info@acmesolutions.com,google,Mid-Market,No,,No,,
LD-1135,2026-04-13 10:32:00,Summit Inc,info@summitinc.com,referral,Enterprise,Yes,2026-04-16 14:23:00,No,,
LD-1220,2026-05-23 14:16:00,Zenith Partners,info@zenithpartners.com,LinkedIn Ads,SMB,Yes,2026-06-01 16:11:00,No,,
LD-1511,12/03/2026,Core Co,info@coreco.com,,Mid-Market,No,,No,,
LD-1127,2026-05-13,Omega LLC,info@omegallc.com,LinkedIn Ads,SMB,No,,No,,
LD-1066,27/04/2026,Nova Technologies,info@novatechnologies.com,linkedin,Enterprise,Yes,05/05/2026,No,,
LD-1145,2026-03-12 12:52:00,Alpha Co,info@alphaco.com,Referral,Enterprise,Yes,2026-03-19 10:23:00,Yes,2026-04-03 10:53:00,5746
LD-1003,2026-04-27,Acme Group,info@acmegroup.com,GOOGLE,SMB,No,,No,,
LD-1034,2026-03-19,Apex Technologies,info@apextechnologies.com,Google,Mid-Market,Yes,2026-03-23,No,,
LD-1319,2026-05-09,Shift Solutions,info@shiftsolutions.com,Cold Outreach,Mid-Market,No,,No,,
LD-1223,2026-04-05,Stellar Inc,info@stellarinc.com,Referral,SMB,Yes,2026-04-07,No,,
LD-1115,2026-03-15 17:46:00,Quantum LLC,info@quantumllc.com,LinkedIn Ads,Mid-Market,Yes,2026-03-17 14:27:00,No,,
LD-1438,2026-03-21,Beacon Partners,info@beaconpartners.com,null,Mid-Market,Yes,2026-03-27,No,,
LD-1285,2026-05-06 15:04:00,Alpha Technologies,info@alphatechnologies.com,google,Enterprise,Yes,2026-05-12 12:18:00,No,,
LD-1288,01/03/2026,Omega Technologies,info@omegatechnologies.com,LinkedIn,Mid-Market,Yes,02/03/2026,No,,
LD-1470,14/03/2026,Shift Co,info@shiftco.com,Referral,SMB,Yes,17/03/2026,No,,
LD-1105,2026-04-05,Flux Solutions,info@fluxsolutions.com,LinkedIn Ads,SMB,No,,No,,
LD-1155,2026-04-25 16:57:00,Omega Co,info@omegaco.com,referral,Mid-Market,No,,No,,
LD-1522,2026-04-19,Vortex Technologies,info@vortextechnologies.com,Google,Mid-Market,Yes,2026-04-27,No,,
LD-1279,24/05/2026,Vortex Inc,info@vortexinc.com,GOOGLE,Mid-Market,No,,No,,
LD-1435,2026-04-17,Omega Technologies,info@omegatechnologies.com,cold outreach,Enterprise,Yes,2026-04-19,No,,
LD-1479,2026-04-20 18:36:00,Cloud Corp,info@cloudcorp.com,Referral,SMB,Yes,2026-04-22 16:36:00,No,,
LD-1237,2026-05-03,Quantum Partners,info@quantumpartners.com,Referral,Mid-Market,No,,No,,
LD-1498,2026-04-22, Quantum Solutions  ,info@quantumsolutions.com,referral,Enterprise,Yes,2026-04-28,No,,
LD-1241,26/04/2026,Nova LLC,info@novallc.com,linkedin,SMB,Yes,29/04/2026,No,,
LD-1230,04/05/2026, Flux Inc  ,info@fluxinc.com,google,Mid-Market,Yes,14/05/2026,No,,
LD-1261,2026-04-22 13:55:00,Sovereign Group,info@sovereigngroup.com,LinkedIn,Enterprise,Yes,2026-04-25 18:40:00,Yes,2026-05-13 15:28:00,3618
LD-1266,2026-05-23,Beacon Corp,info@beaconcorp.com,LinkedIn Ads,Enterprise,No,,No,,
LD-1170,2026-05-12, Acme Corp  ,info@acmecorp.com,cold outreach,Mid-Market,No,,No,,
LD-1534,06/04/2026,Bold Group,info@boldgroup.com,null,SMB,Yes,08/04/2026,No,,
LD-1238,18/04/2026,Core Partners,info@corepartners.com,Webinar,Enterprise,Yes,24/04/2026,No,,
LD-1272,2026-04-14 14:50:00,Sovereign Solutions,info@sovereignsolutions.com,Cold Outreach,Enterprise,Yes,2026-04-24 13:49:00,No,,
LD-1263,2026-04-11,Nova Partners,info@novapartners.com,google,Enterprise,Yes,2026-04-18,No,,
LD-1358,2026-03-08 11:06:00,Helix Partners,info@helixpartners.com,GOOGLE,Enterprise,Yes,2026-03-14 18:01:00,No,,
LD-1411,2026-04-03,Core Partners,info@corepartners.com,Referral,Mid-Market,Yes,2026-04-04,Yes,2026-04-22,1346
LD-1466,2026-03-14,Vortex Inc,info@vortexinc.com,Webinar,Mid-Market,Yes,2026-03-24,Yes,2026-04-09,726
LD-1316,2026-03-20, Acme LLC  ,info@acmellc.com,Webinar,Enterprise,Yes,2026-03-22,Yes,2026-04-01,5390
LD-1017,2026-04-09,Flux Partners,info@fluxpartners.com,LinkedIn,SMB,Yes,2026-04-10,No,,
LD-1512,2026-03-09,Sovereign Corp,info@sovereigncorp.com,Cold Outreach,Mid-Market,Yes,2026-03-13,No,,
LD-1475,2026-04-03,Shift Solutions,info@shiftsolutions.com,google,Enterprise,Yes,2026-04-07,No,,
LD-1518,2026-04-13,Shift Inc,info@shiftinc.com,LinkedIn Ads,Enterprise,Yes,2026-04-21,No,,
LD-1517,02/04/2026,Stellar Technologies,info@stellartechnologies.com,Google,SMB,No,,No,,
LD-1214,2026-05-22, Alpha Co  ,info@alphaco.com,LinkedIn,SMB,Yes,2026-06-01,No,,
LD-1064,2026-03-24,Flux Technologies,info@fluxtechnologies.com,null,Mid-Market,Yes,2026-04-02,No,,
LD-1058,2026-03-21 10:37:00,Acme Technologies,info@acmetechnologies.com,Referral,Mid-Market,No,,No,,
LD-1115,2026-03-15 17:46:00,Quantum LLC (Duplicate Entry),info@quantumllc.com,LinkedIn Ads,Mid-Market,Yes,2026-03-17 14:27:00,No,,
LD-1317,2026-03-11,Vortex Technologies,info@vortextechnologies.com,Webinar,Mid-Market,Yes,2026-03-20,No,,
LD-1379,2026-03-10,Summit Global,,linkedin,Enterprise,Yes,2026-03-13,No,,
LD-1068,2026-05-08 11:12:00,Quantum Partners,info@quantumpartners.com,,Enterprise,Yes,2026-05-10 12:18:00,Yes,2026-05-20 13:00:00,7375
LD-1469,2026-03-10 17:06:00,Vortex Solutions,info@vortexsolutions.com,Cold Outreach,Enterprise,Yes,2026-03-13 17:47:00,No,,
LD-1005,2026-05-08,Omega Corp,info@omegacorp.com,cold outreach,Mid-Market,Yes,2026-05-10,Yes,2026-05-22,1291
LD-1182,2026-04-17,Vortex LLC,info@vortexllc.com,null,Enterprise,Yes,2026-04-27,No,,
LD-1340,2026-04-12,Shift Technologies,info@shifttechnologies.com,Google,Enterprise,Yes,2026-04-22,Yes,2026-05-03,7099
LD-1111,2026-04-16,Vortex Partners,info@vortexpartners.com,Google,Enterprise,No,,No,,
LD-1006,2026-04-07 12:55:00,Vortex LLC,info@vortexllc.com,LinkedIn Ads,SMB,Yes,2026-04-11 13:44:00,No,,
LD-1194,2026-03-24 13:56:00,Apex Inc,info@apexinc.com,LinkedIn Ads,Mid-Market,Yes,2026-04-02 17:31:00,No,,
LD-1403,2026-04-16, Alpha Inc  ,info@alphainc.com,google,Enterprise,No,,No,,
LD-1162,2026-03-28 13:44:00,Zenith Solutions,info@zenithsolutions.com,referral,SMB,No,,No,,
LD-1402,19/03/2026, Zenith Co  ,info@zenithco.com,LinkedIn,SMB,Yes,23/03/2026,Yes,03/04/2026,232
LD-1140,2026-03-10,Vortex Global,info@vortexglobal.com,Cold Outreach,SMB,No,,No,,
LD-1399,03/03/2026,Acme LLC,info@acmellc.com,Google,Enterprise,Yes,12/03/2026,No,,
LD-1075,2026-03-10,Beacon Solutions,info@beaconsolutions.com,Webinar,SMB,No,,No,,
LD-1217,2026-03-31,Stellar LLC,info@stellarllc.com,linkedin,Mid-Market,Yes,2026-04-08,No,,
LD-1260,2026-04-07,Beacon Global,info@beaconglobal.com,google,SMB,No,,No,,
LD-1210,2026-05-16,Apex Solutions,info@apexsolutions.com,LinkedIn,Enterprise,Yes,2026-05-17,Yes,2026-05-31,4918
LD-1447,2026-05-12,Pulse Technologies,info@pulsetechnologies.com,LinkedIn,SMB,Yes,2026-05-18,No,,
LD-1426,2026-05-12,Synergy Co,info@synergyco.com,referral,Enterprise,No,,No,,
LD-1186,2026-05-01,Core Group,info@coregroup.com,Cold Outreach,Mid-Market,No,,No,,
LD-1218,30/04/2026,Core Solutions,info@coresolutions.com,cold outreach,SMB,No,,No,,
LD-1385,2026-03-15, Pulse Technologies  ,info@pulsetechnologies.com,,Mid-Market,Yes,2026-03-24,No,,
LD-1124,2026-04-09, Omega Inc  ,info@omegainc.com,LinkedIn,SMB,No,,No,,
LD-1352,2026-04-07,Pulse Partners,info@pulsepartners.com,referral,Mid-Market,Yes,2026-04-08,No,,
LD-1076,2026-03-19,Summit Technologies,info@summittechnologies.com,linkedin,Mid-Market,Yes,2026-03-24,No,,
LD-1028,2026-03-27,Core Solutions,info@coresolutions.com,Webinar,Mid-Market,Yes,2026-03-29,Yes,2026-04-06,575
LD-1378,26/04/2026,Flux Global,info@fluxglobal.com,null,SMB,Yes,29/04/2026,No,,
LD-1338,2026-04-15,Summit Global,info@summitglobal.com,GOOGLE,Enterprise,Yes,2026-04-24,No,,
LD-1489,2026-05-05 10:57:00,Core Partners,info@corepartners.com,GOOGLE,SMB,Yes,2026-05-13 17:59:00,No,,
LD-1232,07/04/2026,Nova Corp,info@novacorp.com,,Enterprise,Yes,14/04/2026,No,,
LD-1433,2026-03-23,Vortex Global,info@vortexglobal.com,Google,Enterprise,Yes,2026-04-02,Yes,2026-04-18,5127
LD-1405,2026-04-18 12:33:00,Omega Co,info@omegaco.com,,Mid-Market,No,,No,,
LD-1492,2026-04-05,Core LLC,info@corellc.com,Referral,Enterprise,No,,No,,
LD-1148,2026-03-31,Apex Solutions,info@apexsolutions.com,referral,SMB,Yes,2026-04-08,No,,
LD-1079,2026-04-25,Zenith Corp,info@zenithcorp.com,LinkedIn Ads,Enterprise,Yes,2026-04-28,No,,
LD-1082,2026-05-20,Apex Solutions,info@apexsolutions.com,linkedin,Mid-Market,No,,No,,
LD-1292,2026-05-14,Vortex Group,info@vortexgroup.com,google,Enterprise,Yes,2026-05-18,No,,
LD-1102,2026-04-03,Flux Corp,info@fluxcorp.com,cold outreach,Enterprise,Yes,2026-04-13,Yes,2026-04-20,6803
LD-1267,2026-03-22,Stellar Solutions,info@stellarsolutions.com,google,SMB,Yes,2026-03-24,Yes,2026-04-05,232
LD-1425,15/03/2026,Beacon Global,info@beaconglobal.com,null,Mid-Market,No,,No,,
LD-1144,2026-04-02,Zenith Co,info@zenithco.com,Cold Outreach,SMB,Yes,2026-04-05,Yes,2026-04-14,211
LD-1187,22/05/2026,Beacon Partners,info@beaconpartners.com,Cold Outreach,Mid-Market,Yes,27/05/2026,No,,
LD-1507,2026-05-03,Acme Partners,info@acmepartners.com,referral,Mid-Market,Yes,2026-05-05,No,,
LD-1520,2026-04-22 09:53:00,Cloud Technologies,info@cloudtechnologies.com,Cold Outreach,Enterprise,Yes,2026-05-02 14:51:00,No,,
LD-1343,2026-03-21,Nova Group,info@novagroup.com,Referral,Mid-Market,No,,No,,
LD-1322,2026-05-20,Bold Technologies,info@boldtechnologies.com,,SMB,Yes,2026-05-29,No,,
LD-1390,2026-03-12,Alpha LLC,info@alphallc.com,referral,SMB,Yes,2026-03-15,No,,
LD-1505,2026-05-18 15:35:00,Omega Inc,info@omegainc.com,cold outreach,Enterprise,No,,No,,
LD-1060,12/05/2026,Flux Global,info@fluxglobal.com,Cold Outreach,Enterprise,Yes,19/05/2026,No,,
LD-1281,2026-03-04,Helix Technologies,info@helixtechnologies.com,cold outreach,Enterprise,Yes,2026-03-12,No,,
LD-1015,2026-03-11,Zenith Corp,info@zenithcorp.com,GOOGLE,SMB,No,,No,,
LD-1416,2026-04-18,Core LLC,info@corellc.com,Webinar,Enterprise,Yes,2026-04-27,No,,
LD-1457,2026-04-30,Stellar Co,info@stellarco.com,null,Enterprise,Yes,2026-05-05,No,,
LD-1016,2026-05-10,Cloud LLC,info@cloudllc.com,,Enterprise,No,,No,,
LD-1525,2026-05-07,Core Group,info@coregroup.com,Cold Outreach,Enterprise,No,,No,,
LD-1243,2026-05-08,Nova Corp,info@novacorp.com,LinkedIn Ads,SMB,Yes,2026-05-09,No,,
LD-1413,09/05/2026,Helix Global,info@helixglobal.com,null,Enterprise,Yes,17/05/2026,No,,
LD-1282,2026-03-08,Shift Group,info@shiftgroup.com,google,Enterprise,No,,No,,
LD-1239,2026-03-26,Summit LLC,info@summitllc.com,null,Enterprise,Yes,2026-04-05,No,,
LD-1257,04/04/2026,Flux Global,,null,Mid-Market,Yes,11/04/2026,Yes,23/04/2026,804
LD-1204,2026-03-08,Cloud LLC,info@cloudllc.com,referral,Enterprise,No,,No,,
LD-1118,2026-04-24 09:18:00,Bold Technologies,info@boldtechnologies.com,LinkedIn,SMB,No,,No,,
LD-1035,15/04/2026,Helix Group,info@helixgroup.com,GOOGLE,SMB,No,,No,,
LD-1096,2026-03-26 16:06:00,Synergy LLC,info@synergyllc.com,null,Mid-Market,Yes,2026-04-02 13:00:00,No,,
LD-1533,2026-03-19 18:16:00,Flux LLC,info@fluxllc.com,LinkedIn Ads,Mid-Market,Yes,2026-03-20 10:30:00,Yes,2026-03-16,674
LD-1325,2026-04-12,Apex Partners,info@apexpartners.com,Google,Mid-Market,No,,No,,
LD-1179,2026-03-26, Omega Global  ,,null,Mid-Market,No,,No,,
LD-1429,2026-03-10,Summit Partners,info@summitpartners.com,cold outreach,Mid-Market,Yes,2026-03-14,No,,
LD-1415,2026-03-11,Pulse LLC,,null,SMB,Yes,2026-03-13,No,,
LD-1183,23/05/2026,Shift Solutions,info@shiftsolutions.com,GOOGLE,Enterprise,Yes,02/06/2026,No,,
LD-1209,2026-04-05,Vortex Inc,info@vortexinc.com,,SMB,Yes,2026-04-07,Yes,2026-04-13,214
LD-1374,24/04/2026, Cloud Corp  ,info@cloudcorp.com,Webinar,SMB,Yes,27/04/2026,No,,
LD-1121,2026-03-01, Sovereign LLC  ,info@sovereignllc.com,Google,SMB,No,,No,,
LD-1168,2026-03-29,Cloud Technologies,info@cloudtechnologies.com,Webinar,Enterprise,Yes,2026-04-03,No,,
LD-1287,09/05/2026, Synergy Group  ,info@synergygroup.com,LinkedIn,Enterprise,Yes,10/05/2026,No,,
LD-1097,2026-03-07 16:53:00,Stellar Solutions,info@stellarsolutions.com,Webinar,SMB,Yes,2026-03-10 10:57:00,No,,
LD-1265,2026-03-07,Alpha Inc,info@alphainc.com,referral,Mid-Market,Yes,2026-03-14,Yes,2026-03-23,1403
LD-1362,2026-04-30 11:04:00,Zenith Co,info@zenithco.com,Google,Enterprise,Yes,2026-05-07 15:52:00,Yes,2026-05-26 16:51:00,7694
LD-1254,2026-05-02,Summit Co,info@summitco.com,LinkedIn Ads,SMB,Yes,2026-05-06,No,,
LD-1301,2026-03-04 13:03:00,Zenith Global,info@zenithglobal.com,LinkedIn,SMB,Yes,2026-03-08 13:34:00,No,,
LD-1211,2026-05-13,Bold Co,info@boldco.com,Webinar,Enterprise,Yes,2026-05-18,Yes,2026-05-28,6499
LD-1160,2026-04-19 09:38:00,Sovereign Partners,info@sovereignpartners.com,,SMB,Yes,2026-04-28 14:25:00,No,,
LD-1493,2026-05-18 12:26:00,Synergy Group,info@synergygroup.com,cold outreach,Mid-Market,Yes,2026-05-21 12:41:00,Yes,2026-06-01 11:19:00,1205
LD-1294,2026-04-11,Synergy Co,,linkedin,Mid-Market,No,,No,,
LD-1163,2026-04-26 14:42:00,Flux Corp,info@fluxcorp.com,linkedin,SMB,No,,No,,
LD-1051,2026-04-23,Helix LLC,info@helixllc.com,null,SMB,No,,No,,
LD-1289,19/03/2026,Nova Inc,info@novainc.com,Cold Outreach,Mid-Market,No,,No,,
LD-1084,2026-03-15,Vortex Group,info@vortexgroup.com,Cold Outreach,Enterprise,Yes,2026-03-23,No,,
LD-1361,2026-04-14,Omega Group,info@omegagroup.com,cold outreach,SMB,Yes,2026-04-17,No,,
LD-1253,2026-05-05,Bold Group,info@boldgroup.com,referral,Enterprise,Yes,2026-05-08,No,,
LD-1114,10/05/2026,Omega Global,info@omegaglobal.com,Referral,SMB,No,,No,,
LD-1179,2026-03-26, Omega Global  ,,null,Mid-Market,No,,No,,
LD-1311,2026-03-07,Helix Group,info@helixgroup.com,Referral,Mid-Market,Yes,2026-03-09,No,,
LD-1497,2026-05-23,Omega Partners,info@omegapartners.com,LinkedIn,SMB,Yes,2026-05-24,No,,
LD-1453,26/04/2026,Synergy Corp,info@synergycorp.com,LinkedIn Ads,Mid-Market,Yes,04/05/2026,No,,
LD-1499,2026-04-01,Apex LLC,info@apexllc.com,null,Enterprise,Yes,2026-04-10,No,,
LD-1303,2026-04-15 09:45:00,Flux Group,info@fluxgroup.com,,Mid-Market,Yes,2026-04-18 16:02:00,Yes,2026-04-30 18:14:00,520
LD-1191,2026-05-15,Apex Global,info@apexglobal.com,google,Mid-Market,Yes,2026-05-23,Yes,2026-06-01,505
LD-1192,2026-05-10 11:26:00,Zenith Partners,info@zenithpartners.com,linkedin,Mid-Market,Yes,2026-05-11 10:41:00,No,,
LD-1138,2026-04-18,Core Group,info@coregroup.com,null,Enterprise,No,,No,,
LD-1366,2026-04-27,Synergy Inc,info@synergyinc.com,,Mid-Market,Yes,2026-05-03,No,,
LD-1027,2026-05-16,Synergy LLC,info@synergyllc.com,LinkedIn,Enterprise,Yes,2026-05-26,Yes,2026-06-10,5136
LD-1189,2026-05-09,Omega Co,info@omegaco.com,linkedin,SMB,Yes,2026-05-11,No,,
LD-1117,2026-05-11,Pulse Global,info@pulseglobal.com,LinkedIn Ads,Enterprise,No,,No,,
LD-1300,2026-04-15,Zenith Co,info@zenithco.com,Referral,Mid-Market,Yes,2026-04-21,No,,
LD-1086,05/04/2026,Helix Co,info@helixco.com,Google,Mid-Market,No,,No,,
LD-1065,2026-03-11,Helix Partners,info@helixpartners.com,referral,Enterprise,No,,No,,
LD-1424,2026-05-11 14:22:00,Beacon Solutions,info@beaconsolutions.com,Referral,Enterprise,Yes,2026-05-14 15:32:00,Yes,2026-05-21 17:18:00,5785
LD-1222,2026-03-08,Bold Partners,,Cold Outreach,Enterprise,Yes,2026-03-09,No,,
LD-1549,2026-04-12,Stellar Technologies,info@stellartechnologies.com,cold outreach,Enterprise,Yes,2026-04-22,Yes,2026-05-12,7736
LD-1094,2026-03-24,Nova LLC,info@novallc.com,cold outreach,SMB,Yes,2026-03-29,No,,
LD-1454,2026-04-29, Apex Co  ,info@apexco.com,GOOGLE,SMB,Yes,2026-05-06,Yes,2026-05-26,146
LD-1445,2026-04-19,Synergy Technologies,info@synergytechnologies.com,Cold Outreach,SMB,Yes,2026-04-25,No,,
LD-1012,2026-03-02,Vortex Global,info@vortexglobal.com,LinkedIn Ads,SMB,Yes,2026-03-05,No,,
LD-1278,2026-03-20,Omega Corp,info@omegacorp.com,LinkedIn,SMB,Yes,2026-03-27,Yes,2026-04-02,179
LD-1041,2026-04-08,Helix Co,info@helixco.com,GOOGLE,SMB,Yes,2026-04-15,No,,
LD-1360,02/03/2026,Cloud Solutions,info@cloudsolutions.com,LinkedIn Ads,Enterprise,Yes,12/03/2026,Yes,24/03/2026,6947
LD-1420,2026-04-30 15:05:00,Nova Technologies,info@novatechnologies.com,Google,Enterprise,Yes,2026-05-07 18:41:00,No,,
LD-1545,2026-04-28 18:59:00,Helix Group,info@helixgroup.com,referral,Mid-Market,Yes,2026-05-01 15:38:00,Yes,2026-05-21 12:45:00,1013
LD-1176,2026-03-31, Flux Inc  ,info@fluxinc.com,Webinar,Enterprise,Yes,2026-04-09,Yes,2026-04-17,6530
LD-1464,2026-03-03,Flux Solutions,info@fluxsolutions.com,Cold Outreach,Mid-Market,Yes,2026-03-11,No,,
LD-1345,2026-04-01,Flux Technologies,info@fluxtechnologies.com,cold outreach,Mid-Market,Yes,2026-04-02,Yes,2026-04-16,966
LD-1215,2026-03-10,Shift Global,info@shiftglobal.com,LinkedIn Ads,Mid-Market,No,,No,,
LD-1014,2026-03-01,Zenith Inc,info@zenithinc.com,,Mid-Market,Yes,2026-03-05,No,,
LD-1283,2026-03-15, Cloud Inc  ,info@cloudinc.com,LinkedIn,SMB,Yes,2026-03-22,No,,
LD-1510,2026-03-21,Bold Global,info@boldglobal.com,cold outreach,Mid-Market,No,,No,,
LD-1396,2026-05-14,Shift Co,info@shiftco.com,GOOGLE,SMB,Yes,2026-05-18,No,,
LD-1388,2026-05-11,Synergy Technologies,info@synergytechnologies.com,Referral,Mid-Market,Yes,2026-05-18,No,,
LD-1246,2026-03-14,Nova Corp,info@novacorp.com,LinkedIn Ads,Mid-Market,Yes,2026-03-18,No,,
LD-1282,2026-03-08,Shift Group,info@shiftgroup.com,google,Enterprise,No,,No,,
LD-1471,2026-05-04,Summit Global,info@summitglobal.com,LinkedIn Ads,Mid-Market,Yes,2026-05-10,No,,
LD-1468,2026-03-08,Helix Co,info@helixco.com,cold outreach,Mid-Market,Yes,2026-03-10,No,,
LD-1139,2026-03-12,Helix Global,info@helixglobal.com,GOOGLE,SMB,Yes,2026-03-20,Yes,2026-03-29,139
LD-1195,2026-03-18 16:17:00,Quantum Corp,info@quantumcorp.com,Webinar,Mid-Market,No,,No,,
LD-1093,2026-03-13, Stellar Inc  ,info@stellarinc.com,linkedin,Mid-Market,Yes,2026-03-16,Yes,2026-04-03,1079
LD-1159,2026-04-21,Summit Inc,info@summitinc.com,,Mid-Market,Yes,2026-04-23,Yes,2026-05-09,870
LD-1025,2026-05-11,Zenith Group,info@zenithgroup.com,Google,Enterprise,No,,No,,
LD-1440,2026-04-11,Zenith Partners,info@zenithpartners.com,linkedin,Mid-Market,Yes,2026-04-14,No,,
LD-1531,2026-05-16 16:39:00,Flux Technologies,info@fluxtechnologies.com,,Enterprise,No,,No,,
LD-1299,2026-04-07, Pulse Partners  ,info@pulsepartners.com,GOOGLE,Mid-Market,Yes,2026-04-16,Yes,2026-04-03,891
LD-1320,2026-04-30,Synergy Partners,info@synergypartners.com,null,SMB,Yes,2026-05-09,No,,
LD-1143,2026-04-30 12:23:00,Shift Partners,info@shiftpartners.com,Referral,Enterprise,Yes,2026-05-03 12:51:00,No,,
LD-1382,2026-05-06,Cloud Group,info@cloudgroup.com,google,Mid-Market,Yes,2026-05-10,No,,
LD-1108,2026-05-10,Quantum Solutions,info@quantumsolutions.com,cold outreach,SMB,Yes,2026-05-13,No,,
LD-1090,2026-04-26,Alpha Inc,info@alphainc.com,Webinar,SMB,Yes,2026-05-01,No,,
LD-1410,2026-05-01,Helix Group,info@helixgroup.com,GOOGLE,Enterprise,No,,No,,
LD-1455,2026-03-25 13:52:00,Omega Inc,info@omegainc.com,LinkedIn,Mid-Market,No,,No,,
LD-1212,2026-05-11,Flux LLC,info@fluxllc.com,Referral,Mid-Market,Yes,2026-05-18,Yes,2026-06-07,746
LD-1161,2026-04-05,Vortex Inc,info@vortexinc.com,Referral,Enterprise,Yes,2026-04-10,No,,
LD-1023,09/05/2026,Nova Solutions,info@novasolutions.com,LinkedIn,Mid-Market,No,,No,,
LD-1462,2026-04-02 16:45:00,Alpha Global,info@alphaglobal.com,LinkedIn,Enterprise,Yes,2026-04-08 14:46:00,No,,
LD-1128,2026-05-19,Flux Corp,info@fluxcorp.com,Referral,Enterprise,Yes,2026-05-21,No,,
LD-1348,2026-05-21,Pulse Inc,,google,Enterprise,No,,No,,
LD-1419,2026-05-10,Apex Group,info@apexgroup.com,,SMB,No,,No,,
LD-1153,2026-03-18,Alpha Inc,,LinkedIn,SMB,Yes,2026-03-23,No,,
LD-1308,2026-05-13,Shift Inc,info@shiftinc.com,,Enterprise,Yes,2026-05-23,Yes,2026-06-12,4152
LD-1379,2026-03-10,Summit Global (Duplicate Entry),,linkedin,Enterprise,Yes,2026-03-13,No,,
LD-1157,2026-04-27,Helix Group,info@helixgroup.com,Google,Enterprise,No,,No,,
LD-1484,20/03/2026,Nova Corp,info@novacorp.com,cold outreach,SMB,No,,No,,
LD-1276,2026-03-10,Nova Inc,,Google,Mid-Market,Yes,2026-03-19,No,,
LD-1106,2026-04-17,Flux Inc,info@fluxinc.com,google,Mid-Market,Yes,2026-04-21,No,,
LD-1383,2026-04-12,Quantum Global,info@quantumglobal.com,,Enterprise,Yes,2026-04-18,No,,
LD-1134,2026-05-13,Core Partners,info@corepartners.com,referral,SMB,No,,No,,
LD-1515,2026-05-03,Summit Solutions,info@summitsolutions.com,Google,SMB,Yes,2026-05-05,No,,
